,Feature,importance,method
0,num_major_vessels,2.715556563575408,lr
1,age,0.0884392630948203,lr
2,max_heart_rate_achieved,-0.40838547506513956,lr
3,cholesterol,0.3235871948569661,lr
4,st_depression,0.8531617744229693,lr
5,resting_blood_pressure,0.5061952671946108,lr
6,chest_pain_type_atypical_angina,-0.6193564126193364,lr
7,chest_pain_type_non_anginal_pain,-1.198191619483528,lr
8,chest_pain_type_typical_angina,-1.2989549983177353,lr
9,rest_ecg_left_ventricular_hypertrophy,0.18147449911028862,lr
10,rest_ecg_normal,-0.4610935485873004,lr
11,st_slope_flat,0.6865073193702267,lr
12,st_slope_upsloping,-0.4545702169733734,lr
13,thalassemia_normal,-0.4112875044698252,lr
14,thalassemia_reversable_defect,0.9183713152474721,lr
15,sex_male,0.9744773390245725,lr
16,fasting_blood_suger_lower_than_120mg/ml,-0.04546387130334764,lr
17,exercise_induced_angina_yes,0.8800624582753284,lr
