,Feature,importance,method
0,num_major_vessels,1.9745105359267743,svcl
1,age,-0.2998286308279865,svcl
2,max_heart_rate_achieved,-0.32812074176986816,svcl
3,cholesterol,0.05054653305888779,svcl
4,st_depression,0.7118117910186953,svcl
5,resting_blood_pressure,0.4879232793240645,svcl
6,chest_pain_type_atypical_angina,-0.43887587137616535,svcl
7,chest_pain_type_non_anginal_pain,-0.6191930840907443,svcl
8,chest_pain_type_typical_angina,-1.4000000000000004,svcl
9,rest_ecg_left_ventricular_hypertrophy,-0.16256476194004055,svcl
10,rest_ecg_normal,-0.5374352380599565,svcl
11,st_slope_flat,0.5330653808426571,svcl
12,st_slope_upsloping,-0.31277264905787705,svcl
13,thalassemia_normal,-0.3122151067532361,svcl
14,thalassemia_reversable_defect,0.5910670861750904,svcl
15,sex_male,0.6286514800905674,svcl
16,fasting_blood_suger_lower_than_120mg/ml,0.20900183043860437,svcl
17,exercise_induced_angina_yes,0.7653564158431474,svcl
