,Feature,importance,method
0,mental_poor30,0.2108659894101469,lr
1,checkup,-0.49872104844114384,lr
2,alcohol30,-0.40157290848067867,lr
3,EDUCA,0.030321398589718603,lr
4,income,-0.5788204761140219,lr
5,BMI5,-0.6414759498918391,lr
6,smoke,-0.011584538795966692,lr
7,age_cat5,2.4243106494215985,lr
8,sex_male,0.6773700349047964,lr
9,cholestrol_2,-0.7323359440636933,lr
10,blood_pressure_2,-0.3993253498527693,lr
11,blood_pressure_3,-0.8670473766871166,lr
12,blood_pressure_4,-0.7781103870984314,lr
13,exer_yes,-0.12417276465425173,lr
14,diff_walk_yes,0.5476277777976761,lr
15,marital_status_2,-0.08289929213398813,lr
16,marital_status_3,0.04574564793181066,lr
17,marital_status_4,0.25349964241526407,lr
18,marital_status_5,-0.28356482094487917,lr
19,marital_status_6,-0.210178555294504,lr
20,employ_status_2,-0.032240029795862685,lr
21,employ_status_3,0.40407474760495377,lr
22,employ_status_4,-0.09244018801176453,lr
23,employ_status_5,0.036847341202614785,lr
24,employ_status_6,-0.35256545375180204,lr
25,employ_status_7,0.2566166433604243,lr
26,employ_status_8,0.4396793374054498,lr
27,diabetes_2,-0.5766569082970401,lr
28,diabetes_3,-0.4532644349710933,lr
29,diabetes_4,-0.17114798319589714,lr
