,Feature,importance,method
0,mental_poor30,0.005505712808318993,rf
1,checkup,0.005633113476081268,rf
2,alcohol30,0.020381070311890258,rf
3,EDUCA,0.0021449441853931893,rf
4,income,0.017239960248654505,rf
5,BMI5,0.004789586901371221,rf
6,smoke,0.0010238571054283336,rf
7,age_cat5,0.25300877069034017,rf
8,sex_male,0.027459079292407713,rf
9,cholestrol_2,0.124548743640634,rf
10,blood_pressure_2,4.44215381026156e-05,rf
11,blood_pressure_3,0.23539415805962743,rf
12,blood_pressure_4,0.0009637386397443437,rf
13,exer_yes,0.0032249655976548663,rf
14,diff_walk_yes,0.13977698491534468,rf
15,marital_status_2,0.00025679053117212924,rf
16,marital_status_3,0.004067376695124357,rf
17,marital_status_4,1.1378270464357645e-05,rf
18,marital_status_5,0.002561800809824046,rf
19,marital_status_6,0.00045577478317335564,rf
20,employ_status_2,0.00019030917177827793,rf
21,employ_status_3,0.0005392570099780681,rf
22,employ_status_4,8.847287696878992e-05,rf
23,employ_status_5,0.0,rf
24,employ_status_6,0.0,rf
25,employ_status_7,0.078591151601517,rf
26,employ_status_8,0.021923252502088077,rf
27,diabetes_2,0.0013989355347308618,rf
28,diabetes_3,0.04826502037810209,rf
29,diabetes_4,0.0005113724240849993,rf
