,Feature,importance,method
0,income,-0.43743451684322116,svcl
1,BMI5,-0.4104720511453772,svcl
2,alcohol30,-0.29150237858015837,svcl
3,smoke,0.04093889343195345,svcl
4,mental_poor30,0.13507442748936582,svcl
5,checkup,-0.3338823539416107,svcl
6,age_cat5,1.7955409222862786,svcl
7,EDUCA,-0.011172919394248804,svcl
8,sex_male,0.5647766033977435,svcl
9,cholestrol_2,-0.5913347522580299,svcl
10,blood_pressure_2,-0.5103174188747204,svcl
11,blood_pressure_3,-0.8052353318433783,svcl
12,blood_pressure_4,-0.820271613163432,svcl
13,exer_yes,-0.11674136177895988,svcl
14,diff_walk_yes,0.4379768968613442,svcl
15,marital_status_2,-0.019686163069604135,svcl
16,marital_status_3,0.0923082969521456,svcl
17,marital_status_4,0.15670245175397923,svcl
18,marital_status_5,-0.19127797595238327,svcl
19,marital_status_6,-0.19528794831835583,svcl
20,employ_status_2,-0.06586590350925992,svcl
21,employ_status_3,0.3636983994483103,svcl
22,employ_status_4,-0.07728359074894442,svcl
23,employ_status_5,0.13274422462598423,svcl
24,employ_status_6,0.18968258112527958,svcl
25,employ_status_7,0.2541434129563953,svcl
26,employ_status_8,0.39307900220635617,svcl
27,diabetes_2,-0.33182407157342997,svcl
28,diabetes_3,-0.31064029507202395,svcl
29,diabetes_4,-0.08520717187979177,svcl
