,Feature,importance,method
0,mental_poor30,0.19655285654856383,lr
1,checkup,-0.061071564273804,lr
2,alcohol30,-0.4130468591980022,lr
3,EDUCA,-0.3898009628700069,lr
4,income,-0.7706488696295813,lr
5,BMI5,-0.6939398019906444,lr
6,smoke,-0.28782368668260605,lr
7,age_cat5,2.1677241307353294,lr
8,sex_male,0.9528375152890166,lr
9,cholestrol_2,-0.6413592749860773,lr
10,blood_pressure_2,0.12259934904093045,lr
11,blood_pressure_3,-0.6203486228259653,lr
12,blood_pressure_4,-0.970721419019606,lr
13,exer_yes,-0.09347234653953256,lr
14,diff_walk_yes,0.5590796451933576,lr
15,marital_status_2,0.07683075921455611,lr
16,marital_status_3,0.13417297446439463,lr
17,marital_status_4,0.15022998662023485,lr
18,marital_status_5,-0.19643826110121979,lr
19,marital_status_6,-0.03989210516075614,lr
20,employ_status_2,0.11080120974398566,lr
21,employ_status_3,0.27683330363790115,lr
22,employ_status_4,-0.017397871732761132,lr
23,employ_status_5,0.1831490242806354,lr
24,employ_status_6,-0.17107866890742382,lr
25,employ_status_7,0.2746471733879827,lr
26,employ_status_8,0.420945140492881,lr
27,diabetes_2,-0.08436650408925143,lr
28,diabetes_3,-0.4646542123238596,lr
29,diabetes_4,-0.4060880565211301,lr
