,Feature,importance,method
0,mental_poor30,0.013935440840182205,rf
1,checkup,0.0066249360527186,rf
2,alcohol30,0.03181285966147975,rf
3,EDUCA,0.015763961982358462,rf
4,income,0.05075556010215018,rf
5,BMI5,0.01399877207174157,rf
6,smoke,0.0023843672236412263,rf
7,age_cat5,0.21436669589342983,rf
8,sex_male,0.06698475925610176,rf
9,cholestrol_2,0.11610493097176869,rf
10,blood_pressure_2,0.0006416744385611972,rf
11,blood_pressure_3,0.15313754263835486,rf
12,blood_pressure_4,0.0007274056726514006,rf
13,exer_yes,0.01529553889522632,rf
14,diff_walk_yes,0.1495682591164521,rf
15,marital_status_2,0.002288995761069302,rf
16,marital_status_3,0.004423641553019639,rf
17,marital_status_4,0.0008914503418322457,rf
18,marital_status_5,0.003410737018228242,rf
19,marital_status_6,0.0012004410322355794,rf
20,employ_status_2,0.001968617606642436,rf
21,employ_status_3,0.000699417653418628,rf
22,employ_status_4,0.0013090729802130222,rf
23,employ_status_5,0.0008924271174273604,rf
24,employ_status_6,0.00016949713701082034,rf
25,employ_status_7,0.05216731862109296,rf
26,employ_status_8,0.010736607441851636,rf
27,diabetes_2,0.001373836058307354,rf
28,diabetes_3,0.06496922841890174,rf
29,diabetes_4,0.0013960064419309404,rf
