,Feature,importance,method
0,income,-6.925202539904319,svcg
1,BMI5,-5.140962846545741,svcg
2,alcohol30,-2.6569622098671712,svcg
3,smoke,-2.7965912149885774,svcg
4,mental_poor30,1.527935251306427,svcg
5,checkup,-0.2951200749647356,svcg
6,age_cat5,18.614352471445077,svcg
7,EDUCA,-4.275620273963633,svcg
8,sex_male,8.140989550824242,svcg
9,cholestrol_2,-6.221102475231319,svcg
10,blood_pressure_2,-2.0,svcg
11,blood_pressure_3,-7.157479692755551,svcg
12,blood_pressure_4,-8.342786581769555,svcg
13,exer_yes,-0.7157720862361447,svcg
14,diff_walk_yes,7.104516939602412,svcg
15,marital_status_2,0.908827835510289,svcg
16,marital_status_3,2.2599332494149116,svcg
17,marital_status_4,1.7138441853654527,svcg
18,marital_status_5,-2.4503694920753816,svcg
19,marital_status_6,-0.41205651340602856,svcg
20,employ_status_2,0.5070845600939222,svcg
21,employ_status_3,1.4384908474423739,svcg
22,employ_status_4,-1.4415315259388102,svcg
23,employ_status_5,3.345849663757031,svcg
24,employ_status_6,0.0,svcg
25,employ_status_7,3.725134150623921,svcg
26,employ_status_8,4.360699152477097,svcg
27,diabetes_2,-1.1149382056994739,svcg
28,diabetes_3,-5.552055063957223,svcg
29,diabetes_4,-3.891616825488315,svcg
