,Feature,importance,method
0,income,-0.6520819642881011,svcl
1,BMI5,-0.5028483744354686,svcl
2,alcohol30,-0.323896164655215,svcl
3,smoke,-0.2027910035955694,svcl
4,mental_poor30,0.1437995939373752,svcl
5,checkup,-0.03974255558435866,svcl
6,age_cat5,1.6490780797569407,svcl
7,EDUCA,-0.2730169696581194,svcl
8,sex_male,0.8085967359439927,svcl
9,cholestrol_2,-0.5444547203791978,svcl
10,blood_pressure_2,-0.04860478249785666,svcl
11,blood_pressure_3,-0.5681409384568445,svcl
12,blood_pressure_4,-0.796246067137867,svcl
13,exer_yes,-0.07385918119588819,svcl
14,diff_walk_yes,0.4811279346217218,svcl
15,marital_status_2,0.04361154995032818,svcl
16,marital_status_3,0.12229665054553807,svcl
17,marital_status_4,0.10740676247211,svcl
18,marital_status_5,-0.18466838004365355,svcl
19,marital_status_6,0.026990526234914103,svcl
20,employ_status_2,0.06795212409567813,svcl
21,employ_status_3,0.25335843810295633,svcl
22,employ_status_4,-0.09151670744217838,svcl
23,employ_status_5,0.3488718930296593,svcl
24,employ_status_6,0.10691599606452296,svcl
25,employ_status_7,0.3634662709128251,svcl
26,employ_status_8,0.40508769542083095,svcl
27,diabetes_2,0.008723242662907527,svcl
28,diabetes_3,-0.38551801181648687,svcl
29,diabetes_4,-0.42521893649803205,svcl
