,Feature,importance,method
0,mental_poor30,0.24456555840293454,lr
1,checkup,-0.9043551261774485,lr
2,alcohol30,-0.08860876630804773,lr
3,EDUCA,0.42250961497663414,lr
4,income,-0.033101739756670794,lr
5,BMI5,0.042641807376176614,lr
6,smoke,0.08159382316434118,lr
7,age_cat5,2.469004556220083,lr
8,sex_male,-0.266150623810937,lr
9,cholestrol_2,-0.018828888197099717,lr
10,blood_pressure_2,0.3351665905860612,lr
11,blood_pressure_3,-0.034174228106957534,lr
12,blood_pressure_4,0.04638408013061326,lr
13,exer_yes,-0.1289954956670949,lr
14,diff_walk_yes,0.1645103914656368,lr
15,marital_status_2,0.11964765882387482,lr
16,marital_status_3,0.013816235687607368,lr
17,marital_status_4,-0.01980510018981068,lr
18,marital_status_5,-0.006877530765913997,lr
19,marital_status_6,0.19386538487576668,lr
20,employ_status_2,0.22895819069781156,lr
21,employ_status_3,0.2615151206688894,lr
22,employ_status_4,0.3533623198182008,lr
23,employ_status_5,0.06860385159558043,lr
24,employ_status_6,-0.3293746722594567,lr
25,employ_status_7,0.3329370229655101,lr
26,employ_status_8,0.5878149913774178,lr
27,diabetes_2,-0.13494915309246341,lr
28,diabetes_3,-0.06397999064686478,lr
29,diabetes_4,-0.05273158026991631,lr
