,Feature,importance,method
0,mental_poor30,0.015892761045521682,rf
1,checkup,0.03404498303082069,rf
2,alcohol30,0.019339002469472007,rf
3,EDUCA,0.008346893287556095,rf
4,income,0.02193523853319724,rf
5,BMI5,0.02858593624597324,rf
6,smoke,0.010025229563841593,rf
7,age_cat5,0.49186032080285097,rf
8,sex_male,0.06709377890243667,rf
9,cholestrol_2,0.0022757880312675154,rf
10,blood_pressure_2,7.737724666557717e-05,rf
11,blood_pressure_3,0.01128245718283553,rf
12,blood_pressure_4,0.00040651614282203094,rf
13,exer_yes,0.004712983903109116,rf
14,diff_walk_yes,0.08668044965955761,rf
15,marital_status_2,0.0016039441532600708,rf
16,marital_status_3,0.006348251904668363,rf
17,marital_status_4,0.0003229013720034957,rf
18,marital_status_5,0.003358866075963246,rf
19,marital_status_6,0.0004312667130060033,rf
20,employ_status_2,0.0007815585270492161,rf
21,employ_status_3,0.001415066699257065,rf
22,employ_status_4,0.00035275843791862134,rf
23,employ_status_5,0.0030704572939878483,rf
24,employ_status_6,0.0,rf
25,employ_status_7,0.13122922073647167,rf
26,employ_status_8,0.04522493502143492,rf
27,diabetes_2,0.0004145583910610651,rf
28,diabetes_3,0.002398685503362831,rf
29,diabetes_4,0.0004878131226277503,rf
