,Feature,importance,method
0,income,-9.643831268593694e-05,svcl
1,BMI5,0.00017168848620213728,svcl
2,alcohol30,-5.222891749742664e-05,svcl
3,smoke,-7.572390934906803e-06,svcl
4,mental_poor30,0.0001169238889170976,svcl
5,checkup,-0.0006643030091649516,svcl
6,age_cat5,0.0010866299967765558,svcl
7,EDUCA,0.0002202246873105329,svcl
8,sex_male,-0.00023196595813768095,svcl
9,cholestrol_2,8.767825612698843e-05,svcl
10,blood_pressure_2,1.6565836513826593e-05,svcl
11,blood_pressure_3,-2.191535706286274e-05,svcl
12,blood_pressure_4,-5.43747882948975e-05,svcl
13,exer_yes,-0.00017967227406734398,svcl
14,diff_walk_yes,0.00011643534211719375,svcl
15,marital_status_2,-2.3924351181980885e-05,svcl
16,marital_status_3,-4.664405993498599e-05,svcl
17,marital_status_4,-8.273465593716667e-05,svcl
18,marital_status_5,-0.00010511948614594369,svcl
19,marital_status_6,-9.747655983255443e-05,svcl
20,employ_status_2,5.494671742883872e-05,svcl
21,employ_status_3,0.00013082610854059373,svcl
22,employ_status_4,0.00011002167883805702,svcl
23,employ_status_5,0.0001275323824695973,svcl
24,employ_status_6,3.674433395478571e-05,svcl
25,employ_status_7,1.9992440904909652,svcl
26,employ_status_8,1.9994414439769752,svcl
27,diabetes_2,-6.827370480994022e-05,svcl
28,diabetes_3,-4.3319466929425676e-05,svcl
29,diabetes_4,-2.7004650331285962e-05,svcl
