,Feature,importance,method
0,mental_poor30,0.14746137394730227,lr
1,checkup,-0.4002921069077362,lr
2,alcohol30,0.17202767078549477,lr
3,EDUCA,0.6251963778099001,lr
4,income,0.7821498338818844,lr
5,BMI5,-1.0140909207281468,lr
6,smoke,0.03763270914654463,lr
7,age_cat5,4.060893031278625,lr
8,sex_male,0.13273319928825197,lr
9,cholestrol_2,-0.22293021287641449,lr
10,blood_pressure_2,0.20771685129303255,lr
11,blood_pressure_3,0.04291113306366584,lr
12,blood_pressure_4,-0.15208864918646955,lr
13,exer_yes,0.051957460466926994,lr
14,diff_walk_yes,0.14315234706876281,lr
15,marital_status_2,-0.010429201058819311,lr
16,marital_status_3,-0.1141847496850981,lr
17,marital_status_4,-0.12605309703932097,lr
18,marital_status_5,-0.2282729748441314,lr
19,marital_status_6,0.14158163966484474,lr
20,employ_status_2,0.356933605861995,lr
21,employ_status_3,0.36258277507316033,lr
22,employ_status_4,0.08615357270758621,lr
23,employ_status_5,0.2977639160699337,lr
24,employ_status_6,-0.25896999175909297,lr
25,employ_status_7,0.20278117443259022,lr
26,employ_status_8,0.33658533061909596,lr
27,diabetes_2,0.15958538307474326,lr
28,diabetes_3,0.08945131555329125,lr
29,diabetes_4,0.0639289996435093,lr
