,Feature,importance,method
0,mental_poor30,0.008316401764865838,rf
1,checkup,0.006401415936091725,rf
2,alcohol30,0.011491782714002861,rf
3,EDUCA,0.013044201563389602,rf
4,income,0.03702675088628326,rf
5,BMI5,0.03412031905061126,rf
6,smoke,0.008791135615864202,rf
7,age_cat5,0.6620883984521276,rf
8,sex_male,0.010888975562827311,rf
9,cholestrol_2,0.02014441786278438,rf
10,blood_pressure_2,3.7406979836614346e-05,rf
11,blood_pressure_3,0.0015256161051910668,rf
12,blood_pressure_4,0.0007236821555403547,rf
13,exer_yes,0.0007108873263895021,rf
14,diff_walk_yes,0.007278777783198384,rf
15,marital_status_2,0.0015021351279682342,rf
16,marital_status_3,0.0015977158569324633,rf
17,marital_status_4,0.0007708151088376003,rf
18,marital_status_5,0.012008095404558555,rf
19,marital_status_6,0.0005663934737617798,rf
20,employ_status_2,0.0015211120378368194,rf
21,employ_status_3,0.000572182473625778,rf
22,employ_status_4,0.0002089602507313641,rf
23,employ_status_5,0.0005244833771638683,rf
24,employ_status_6,0.0,rf
25,employ_status_7,0.15366370837218823,rf
26,employ_status_8,0.002222212224425658,rf
27,diabetes_2,0.00010249932760007979,rf
28,diabetes_3,0.0012464677832652044,rf
29,diabetes_4,0.0009030494221002995,rf
