,Feature,importance,method
0,income,0.5056743903093688,svcl
1,BMI5,-0.5702080943765391,svcl
2,alcohol30,0.12326862992401094,svcl
3,smoke,0.023197669314722003,svcl
4,mental_poor30,0.07698223887375621,svcl
5,checkup,-0.27500183370010345,svcl
6,age_cat5,3.0263137959710598,svcl
7,EDUCA,0.4435228619358854,svcl
8,sex_male,0.07962262766495787,svcl
9,cholestrol_2,-0.14061340856170013,svcl
10,blood_pressure_2,0.07239529646923515,svcl
11,blood_pressure_3,0.014289290382444086,svcl
12,blood_pressure_4,-0.16576587444875202,svcl
13,exer_yes,0.012699698056490405,svcl
14,diff_walk_yes,0.03700666364316074,svcl
15,marital_status_2,-0.00012922527186987054,svcl
16,marital_status_3,-0.07782455789532516,svcl
17,marital_status_4,-0.14930697036186302,svcl
18,marital_status_5,-0.11139863056978605,svcl
19,marital_status_6,0.1790058636887757,svcl
20,employ_status_2,0.4975455878894488,svcl
21,employ_status_3,0.2864303695043162,svcl
22,employ_status_4,0.10765034100878168,svcl
23,employ_status_5,0.4258626062884092,svcl
24,employ_status_6,0.03957122355989995,svcl
25,employ_status_7,0.686602384347009,svcl
26,employ_status_8,0.15145226733012507,svcl
27,diabetes_2,0.1078888084028975,svcl
28,diabetes_3,0.03262896575933283,svcl
29,diabetes_4,-0.05007272839190691,svcl
