,Feature,importance,method
0,mental_poor30,0.13052485763437127,lr
1,checkup,-0.44341350450327166,lr
2,alcohol30,-0.20583857642056966,lr
3,EDUCA,-0.19471599932840972,lr
4,income,-0.5958873792928203,lr
5,BMI5,-1.5322771840774512,lr
6,smoke,-0.191404418900354,lr
7,age_cat5,1.2782739618675458,lr
8,sex_male,0.06163230424128797,lr
9,cholestrol_2,-0.25559792616482296,lr
10,blood_pressure_2,-0.4131774807067277,lr
11,blood_pressure_3,-0.6890803176507546,lr
12,blood_pressure_4,-0.739834942863102,lr
13,exer_yes,-0.05535078469002403,lr
14,diff_walk_yes,0.583385898141533,lr
15,marital_status_2,0.061281234276251886,lr
16,marital_status_3,0.03289647973435834,lr
17,marital_status_4,0.4396249276846419,lr
18,marital_status_5,-0.18334660876569353,lr
19,marital_status_6,0.020171971695097185,lr
20,employ_status_2,-0.0325736873377306,lr
21,employ_status_3,0.6248648264981416,lr
22,employ_status_4,0.015785881842419087,lr
23,employ_status_5,0.061532016631553096,lr
24,employ_status_6,-0.2388004971498972,lr
25,employ_status_7,0.3908507911441721,lr
26,employ_status_8,0.7601431243377845,lr
27,diabetes_2,-0.07673828278590526,lr
28,diabetes_3,-0.2376759649601113,lr
29,diabetes_4,-0.3269548865516245,lr
