,Feature,importance,method
0,mental_poor30,0.016014675339242227,rf
1,checkup,0.008066657020518184,rf
2,alcohol30,0.018740820849460847,rf
3,EDUCA,0.010825371129593118,rf
4,income,0.07234334672251502,rf
5,BMI5,0.03898919147582856,rf
6,smoke,0.008513270556794838,rf
7,age_cat5,0.19447737388237607,rf
8,sex_male,0.0023295972831555455,rf
9,cholestrol_2,0.03136743467481213,rf
10,blood_pressure_2,0.0003248125442437764,rf
11,blood_pressure_3,0.14978450848393918,rf
12,blood_pressure_4,0.0033624200215853334,rf
13,exer_yes,0.005678979215468469,rf
14,diff_walk_yes,0.2750432261719543,rf
15,marital_status_2,0.002094599560144641,rf
16,marital_status_3,0.006907592377299341,rf
17,marital_status_4,0.003281482965532164,rf
18,marital_status_5,0.0035800900620344646,rf
19,marital_status_6,0.0013021761221834027,rf
20,employ_status_2,0.0020379815048556004,rf
21,employ_status_3,0.004733814814565469,rf
22,employ_status_4,0.0006973083845563662,rf
23,employ_status_5,0.0014003999737348754,rf
24,employ_status_6,8.647100413557298e-05,rf
25,employ_status_7,0.05220743930070348,rf
26,employ_status_8,0.059226402594715497,rf
27,diabetes_2,0.0006079019592251147,rf
28,diabetes_3,0.024316935257382592,rf
29,diabetes_4,0.001657718747444055,rf
