,Feature,importance,method
0,income,-0.35682820788164377,svcl
1,BMI5,-0.9094477681934301,svcl
2,alcohol30,-0.1270064623732521,svcl
3,smoke,-0.06943664771880492,svcl
4,mental_poor30,0.09857337331068,svcl
5,checkup,-0.29438420495676426,svcl
6,age_cat5,0.6144686403395478,svcl
7,EDUCA,-0.06557009647263912,svcl
8,sex_male,0.034696633659044795,svcl
9,cholestrol_2,-0.12031895387018054,svcl
10,blood_pressure_2,-0.1149860024576242,svcl
11,blood_pressure_3,-0.36747702067209764,svcl
12,blood_pressure_4,-0.3680816894670775,svcl
13,exer_yes,-0.048630932422949635,svcl
14,diff_walk_yes,0.36702104573896743,svcl
15,marital_status_2,0.05104257431834286,svcl
16,marital_status_3,0.024054958469907906,svcl
17,marital_status_4,0.2695429882867082,svcl
18,marital_status_5,-0.09023162886593444,svcl
19,marital_status_6,0.012188789891519336,svcl
20,employ_status_2,-0.0548930473332539,svcl
21,employ_status_3,1.0177280562258728,svcl
22,employ_status_4,-0.0037217212554614965,svcl
23,employ_status_5,0.18803743980071852,svcl
24,employ_status_6,0.035640031788384874,svcl
25,employ_status_7,1.1041622672341174,svcl
26,employ_status_8,1.215244864200017,svcl
27,diabetes_2,-0.025150997053258684,svcl
28,diabetes_3,-0.14716502354159144,svcl
29,diabetes_4,-0.23365498194741174,svcl
