,Feature,importance,method
0,mental_poor30,0.210865989402411,lr
1,age_cat5,2.424310649386819,lr
2,EDUCA,0.030321398628606184,lr
3,checkup,-0.4987210485492095,lr
4,alcohol30,-0.40157290845206317,lr
5,smoke,-0.011584538822427014,lr
6,income,-0.5788204761825586,lr
7,BMI5,-0.6414759497778291,lr
8,sex_male,0.6773700349186265,lr
9,cholestrol_2,-0.7323359440670462,lr
10,blood_pressure_2,-0.399325350012616,lr
11,blood_pressure_3,-0.8670473766702902,lr
12,blood_pressure_4,-0.778110387010513,lr
13,exer_yes,-0.12417276465119871,lr
14,diff_walk_yes,0.5476277777746071,lr
15,marital_status_2,-0.08289929211775028,lr
16,marital_status_3,0.04574564790930138,lr
17,marital_status_4,0.2534996423827312,lr
18,marital_status_5,-0.28356482092869834,lr
19,marital_status_6,-0.21017855527715712,lr
20,employ_status_2,-0.03224002981455667,lr
21,employ_status_3,0.40407474753882583,lr
22,employ_status_4,-0.09244018804615141,lr
23,employ_status_5,0.03684734112235373,lr
24,employ_status_6,-0.35256545427177843,lr
25,employ_status_7,0.2566166432765355,lr
26,employ_status_8,0.43967933730042835,lr
27,diabetes_2,-0.5766569083713686,lr
28,diabetes_3,-0.45326443495885954,lr
29,diabetes_4,-0.1711479831808937,lr
