,Feature,importance,method
0,mental_poor30,0.0206847140206947,rf
1,age_cat5,0.20764790078035203,rf
2,EDUCA,0.012211644406214335,rf
3,checkup,0.022826167746011903,rf
4,alcohol30,0.036823374678122606,rf
5,smoke,0.00760464704728537,rf
6,income,0.030002236876156017,rf
7,BMI5,0.027477291715018,rf
8,sex_male,0.040584583289654676,rf
9,cholestrol_2,0.12464531459242435,rf
10,blood_pressure_2,0.0010837568128429505,rf
11,blood_pressure_3,0.15477637761286742,rf
12,blood_pressure_4,0.0027761776813437196,rf
13,exer_yes,0.017529522232646935,rf
14,diff_walk_yes,0.10312929109544282,rf
15,marital_status_2,0.004414477664101902,rf
16,marital_status_3,0.014587217376213824,rf
17,marital_status_4,0.0017249170918651406,rf
18,marital_status_5,0.005921601846563166,rf
19,marital_status_6,0.0031349178016145366,rf
20,employ_status_2,0.0034383045226051893,rf
21,employ_status_3,0.0022567093565698314,rf
22,employ_status_4,0.002198065623750326,rf
23,employ_status_5,0.0022904205460762624,rf
24,employ_status_6,0.00048260929867091943,rf
25,employ_status_7,0.07150886990071659,rf
26,employ_status_8,0.02029348679248394,rf
27,diabetes_2,0.001509724679436551,rf
28,diabetes_3,0.05422061726752077,rf
29,diabetes_4,0.0022150596447330297,rf
