,Feature,importance,method
0,mental_poor30,2.139398171116629,svcg
1,age_cat5,17.08951541136186,svcg
2,EDUCA,-0.8940513540959858,svcg
3,checkup,-3.2462972670049908,svcg
4,alcohol30,-3.872980745670407,svcg
5,smoke,1.0430590755706781,svcg
6,income,-4.221826373877929,svcg
7,BMI5,-3.0546942020492587,svcg
8,sex_male,5.664873885155748,svcg
9,cholestrol_2,-7.3401736212933955,svcg
10,blood_pressure_2,-3.0261706181816947,svcg
11,blood_pressure_3,-10.614997382149596,svcg
12,blood_pressure_4,-7.757842408518268,svcg
13,exer_yes,-1.081087576348704,svcg
14,diff_walk_yes,5.8902313301254665,svcg
15,marital_status_2,-1.1443639998512367,svcg
16,marital_status_3,2.0754977544238002,svcg
17,marital_status_4,0.7141068132072906,svcg
18,marital_status_5,-1.6991527084670004,svcg
19,marital_status_6,-2.3927115989237677,svcg
20,employ_status_2,-0.584098234543525,svcg
21,employ_status_3,3.008994430185052,svcg
22,employ_status_4,-2.184410621106238,svcg
23,employ_status_5,0.4820161784080169,svcg
24,employ_status_6,0.0,svcg
25,employ_status_7,3.8433053124747403,svcg
26,employ_status_8,3.995384979000368,svcg
27,diabetes_2,-3.4360162465748605,svcg
28,diabetes_3,-5.223832644245164,svcg
29,diabetes_4,-0.05389035874570425,svcg
