,Feature,importance,method
0,mental_poor30,0.13507442748917398,svcl
1,age_cat5,1.7955409222861152,svcl
2,EDUCA,-0.011172919394469072,svcl
3,checkup,-0.33388235394155386,svcl
4,alcohol30,-0.2915023785800198,svcl
5,smoke,0.040938893431868184,svcl
6,income,-0.43743451684333484,svcl
7,BMI5,-0.4104720511455371,svcl
8,sex_male,0.5647766033976938,svcl
9,cholestrol_2,-0.5913347522581578,svcl
10,blood_pressure_2,-0.5103174188747399,svcl
11,blood_pressure_3,-0.8052353318432077,svcl
12,blood_pressure_4,-0.8202716131633396,svcl
13,exer_yes,-0.11674136177881778,svcl
14,diff_walk_yes,0.43797689686125185,svcl
15,marital_status_2,-0.019686163069653873,svcl
16,marital_status_3,0.09230829695196086,svcl
17,marital_status_4,0.15670245175409292,svcl
18,marital_status_5,-0.19127797595241525,svcl
19,marital_status_6,-0.19528794831839846,svcl
20,employ_status_2,-0.06586590350955746,svcl
21,employ_status_3,0.36369839944821214,svcl
22,employ_status_4,-0.07728359074901547,svcl
23,employ_status_5,0.13274422462599844,svcl
24,employ_status_6,0.1896825811252607,svcl
25,employ_status_7,0.2541434129560969,svcl
26,employ_status_8,0.3930790022061572,svcl
27,diabetes_2,-0.3318240715733163,svcl
28,diabetes_3,-0.31064029507243607,svcl
29,diabetes_4,-0.0852071718799543,svcl
