,Feature,importance,method
0,mental_poor30,0.19655285654843985,lr
1,age_cat5,2.167724130734764,lr
2,EDUCA,-0.3898009628710104,lr
3,checkup,-0.06107156427532623,lr
4,alcohol30,-0.4130468591966916,lr
5,smoke,-0.28782368668332736,lr
6,income,-0.7706488696289179,lr
7,BMI5,-0.6939398019896775,lr
8,sex_male,0.9528375152880196,lr
9,cholestrol_2,-0.6413592749857528,lr
10,blood_pressure_2,0.12259934903611502,lr
11,blood_pressure_3,-0.6203486228255948,lr
12,blood_pressure_4,-0.9707214190179687,lr
13,exer_yes,-0.09347234653925744,lr
14,diff_walk_yes,0.5590796451934985,lr
15,marital_status_2,0.07683075921376771,lr
16,marital_status_3,0.1341729744633801,lr
17,marital_status_4,0.1502299866182878,lr
18,marital_status_5,-0.19643826110094564,lr
19,marital_status_6,-0.03989210516097308,lr
20,employ_status_2,0.1108012097432008,lr
21,employ_status_3,0.2768333036384216,lr
22,employ_status_4,-0.01739787172848975,lr
23,employ_status_5,0.1831490242801789,lr
24,employ_status_6,-0.17107866890661738,lr
25,employ_status_7,0.2746471733894154,lr
26,employ_status_8,0.42094514049492693,lr
27,diabetes_2,-0.08436650408891476,lr
28,diabetes_3,-0.4646542123239795,lr
29,diabetes_4,-0.4060880565217089,lr
