,Feature,importance,method
0,mental_poor30,0.0331453193270987,rf
1,age_cat5,0.17332638226714384,rf
2,EDUCA,0.027894053006982538,rf
3,checkup,0.017667924161974075,rf
4,alcohol30,0.04403022825413593,rf
5,smoke,0.012413507530514109,rf
6,income,0.06563835666482165,rf
7,BMI5,0.04934250228215977,rf
8,sex_male,0.06677495425041781,rf
9,cholestrol_2,0.09156931665553386,rf
10,blood_pressure_2,0.0016950171779456654,rf
11,blood_pressure_3,0.11167924695443551,rf
12,blood_pressure_4,0.0026593072698434406,rf
13,exer_yes,0.016844085740266405,rf
14,diff_walk_yes,0.0904629739187012,rf
15,marital_status_2,0.007708634625228911,rf
16,marital_status_3,0.014682170764320443,rf
17,marital_status_4,0.0034224404630275596,rf
18,marital_status_5,0.007277882943289237,rf
19,marital_status_6,0.004008225936873317,rf
20,employ_status_2,0.006046703145340087,rf
21,employ_status_3,0.0037496244244128872,rf
22,employ_status_4,0.003593808774482316,rf
23,employ_status_5,0.0024617376060855675,rf
24,employ_status_6,0.0006280344756823125,rf
25,employ_status_7,0.05574875959181193,rf
26,employ_status_8,0.0220610178877976,rf
27,diabetes_2,0.0018011767479333817,rf
28,diabetes_3,0.05712245636237822,rf
29,diabetes_4,0.004544150789361757,rf
