,Feature,importance,method
0,mental_poor30,0.14379959393737943,svcl
1,age_cat5,1.6490780797569198,svcl
2,EDUCA,-0.2730169696580377,svcl
3,checkup,-0.03974255558435155,svcl
4,alcohol30,-0.32389616465522963,svcl
5,smoke,-0.20279100359556673,svcl
6,income,-0.6520819642881321,svcl
7,BMI5,-0.5028483744354642,svcl
8,sex_male,0.80859673594403,svcl
9,cholestrol_2,-0.5444547203792227,svcl
10,blood_pressure_2,-0.04860478249785932,svcl
11,blood_pressure_3,-0.568140938456873,svcl
12,blood_pressure_4,-0.7962460671378653,svcl
13,exer_yes,-0.0738591811958571,svcl
14,diff_walk_yes,0.48112793462171827,svcl
15,marital_status_2,0.04361154995033528,svcl
16,marital_status_3,0.12229665054553807,svcl
17,marital_status_4,0.10740676247210468,svcl
18,marital_status_5,-0.18466838004365488,svcl
19,marital_status_6,0.02699052623491055,svcl
20,employ_status_2,0.06795212409567813,svcl
21,employ_status_3,0.2533584381029581,svcl
22,employ_status_4,-0.09151670744217483,svcl
23,employ_status_5,0.3488718930296593,svcl
24,employ_status_6,0.10691599606452074,svcl
25,employ_status_7,0.3634662709128002,svcl
26,employ_status_8,0.40508769542083095,svcl
27,diabetes_2,0.00872324266290797,svcl
28,diabetes_3,-0.38551801181651174,svcl
29,diabetes_4,-0.4252189364980285,svcl
