,Feature,importance,method
0,mental_poor30,0.24456555839476252,lr
1,age_cat5,2.4690045562217833,lr
2,EDUCA,0.422509614979521,lr
3,checkup,-0.9043551261973624,lr
4,alcohol30,-0.08860876630619739,lr
5,smoke,0.08159382317139002,lr
6,income,-0.03310173976415488,lr
7,BMI5,0.04264180740082526,lr
8,sex_male,-0.2661506238153003,lr
9,cholestrol_2,-0.018828888196372705,lr
10,blood_pressure_2,0.3351665905966191,lr
11,blood_pressure_3,-0.03417422810523296,lr
12,blood_pressure_4,0.04638408013305202,lr
13,exer_yes,-0.12899549567079827,lr
14,diff_walk_yes,0.16451039144775173,lr
15,marital_status_2,0.11964765882301222,lr
16,marital_status_3,0.013816235689669634,lr
17,marital_status_4,-0.01980510018867988,lr
18,marital_status_5,-0.0068775307690664405,lr
19,marital_status_6,0.19386538487624413,lr
20,employ_status_2,0.22895819067576786,lr
21,employ_status_3,0.26151512068412547,lr
22,employ_status_4,0.3533623198288024,lr
23,employ_status_5,0.06860385159575112,lr
24,employ_status_6,-0.3293746723065522,lr
25,employ_status_7,0.33293702295955546,lr
26,employ_status_8,0.5878149913771334,lr
27,diabetes_2,-0.13494915308827754,lr
28,diabetes_3,-0.06397999063806278,lr
29,diabetes_4,-0.05273158026276534,lr
