,Feature,importance,method
0,mental_poor30,0.02229900531717476,rf
1,age_cat5,0.44468077421280555,rf
2,EDUCA,0.013307958837977682,rf
3,checkup,0.038172928463471395,rf
4,alcohol30,0.031717544335909544,rf
5,smoke,0.013727000645411295,rf
6,income,0.03361044009762359,rf
7,BMI5,0.04850190398207806,rf
8,sex_male,0.05691431078688846,rf
9,cholestrol_2,0.005656699395971028,rf
10,blood_pressure_2,0.0002559024119980872,rf
11,blood_pressure_3,0.00903630283582451,rf
12,blood_pressure_4,0.0010715389859878395,rf
13,exer_yes,0.007925558204353035,rf
14,diff_walk_yes,0.07067754713315677,rf
15,marital_status_2,0.005039206446063461,rf
16,marital_status_3,0.011367267945215047,rf
17,marital_status_4,0.0012076093297489403,rf
18,marital_status_5,0.003483184835326084,rf
19,marital_status_6,0.0012339457601912775,rf
20,employ_status_2,0.0014723503154484288,rf
21,employ_status_3,0.0023526978617501785,rf
22,employ_status_4,0.0006547018347728526,rf
23,employ_status_5,0.0029697759184079803,rf
24,employ_status_6,0.00029382637552241955,rf
25,employ_status_7,0.12531079263229192,rf
26,employ_status_8,0.04092413407701985,rf
27,diabetes_2,0.0011474675731168434,rf
28,diabetes_3,0.003184121585813879,rf
29,diabetes_4,0.001803501862679272,rf
