,Feature,importance,method
0,mental_poor30,0.3087291244903853,svcg
1,age_cat5,13.302112968723582,svcg
2,EDUCA,2.782905194591782,svcg
3,checkup,-5.293509915396633,svcg
4,alcohol30,-4.159802749576639,svcg
5,smoke,1.0491955789354699,svcg
6,income,1.4403922833580878,svcg
7,BMI5,-1.7666949895424087,svcg
8,sex_male,-8.637370122759508,svcg
9,cholestrol_2,-1.5503382189430304,svcg
10,blood_pressure_2,-0.5131884195918701,svcg
11,blood_pressure_3,-3.4464743710745216,svcg
12,blood_pressure_4,-1.6210609533169096,svcg
13,exer_yes,-6.278145279496272,svcg
14,diff_walk_yes,3.502590230101724,svcg
15,marital_status_2,4.636176692937707,svcg
16,marital_status_3,1.4617630334595382,svcg
17,marital_status_4,-1.842802273361385,svcg
18,marital_status_5,-2.4834823501241807,svcg
19,marital_status_6,-1.174158696163163,svcg
20,employ_status_2,0.6462768595492534,svcg
21,employ_status_3,-1.180850335672396,svcg
22,employ_status_4,1.4280563380529898,svcg
23,employ_status_5,-0.5309209196377322,svcg
24,employ_status_6,-1.3469931955997647,svcg
25,employ_status_7,5.845815096728495,svcg
26,employ_status_8,3.835468047781891,svcg
27,diabetes_2,-1.8763208209225972,svcg
28,diabetes_3,-2.580405281989597,svcg
29,diabetes_4,-1.6985517307666775,svcg
