,Feature,importance,method
0,mental_poor30,0.00011692388893397299,svcl
1,age_cat5,0.0010866299967019488,svcl
2,EDUCA,0.00022022468715776622,svcl
3,checkup,-0.0006643030091590674,svcl
4,alcohol30,-5.222891749165348e-05,svcl
5,smoke,-7.5723908407598906e-06,svcl
6,income,-9.643831266550884e-05,svcl
7,BMI5,0.00017168848611487375,svcl
8,sex_male,-0.00023196595818164578,svcl
9,cholestrol_2,8.76782561243239e-05,svcl
10,blood_pressure_2,1.6565836515380905e-05,svcl
11,blood_pressure_3,-2.1915357032664673e-05,svcl
12,blood_pressure_4,-5.4374788294009324e-05,svcl
13,exer_yes,-0.00017967227397674979,svcl
14,diff_walk_yes,0.00011643534215671769,svcl
15,marital_status_2,-2.3924351131354715e-05,svcl
16,marital_status_3,-4.664405992965692e-05,svcl
17,marital_status_4,-8.273465593450213e-05,svcl
18,marital_status_5,-0.00010511948614594369,svcl
19,marital_status_6,-9.74765598378835e-05,svcl
20,employ_status_2,5.494671743594415e-05,svcl
21,employ_status_3,0.00013082610854059373,svcl
22,employ_status_4,0.00011002167883805702,svcl
23,employ_status_5,0.0001275323824695973,svcl
24,employ_status_6,3.6744333956340025e-05,svcl
25,employ_status_7,1.9992440904909372,svcl
26,employ_status_8,1.9994414439769654,svcl
27,diabetes_2,-6.827370480994022e-05,svcl
28,diabetes_3,-4.331946705554701e-05,svcl
29,diabetes_4,-2.7004650331285962e-05,svcl
