,Feature,importance,method
0,mental_poor30,0.1474613739475095,lr
1,age_cat5,4.060893031278396,lr
2,EDUCA,0.6251963778106177,lr
3,checkup,-0.40029210690789413,lr
4,alcohol30,0.17202767078596154,lr
5,smoke,0.0376327091464159,lr
6,income,0.7821498338821538,lr
7,BMI5,-1.0140909207280786,lr
8,sex_male,0.13273319928808766,lr
9,cholestrol_2,-0.22293021287630083,lr
10,blood_pressure_2,0.20771685129114542,lr
11,blood_pressure_3,0.0429111330640012,lr
12,blood_pressure_4,-0.15208864918693157,lr
13,exer_yes,0.05195746046694406,lr
14,diff_walk_yes,0.1431523470687426,lr
15,marital_status_2,-0.0104292010588993,lr
16,marital_status_3,-0.11418474968496846,lr
17,marital_status_4,-0.1260530970397312,lr
18,marital_status_5,-0.22827297484431383,lr
19,marital_status_6,0.14158163966460208,lr
20,employ_status_2,0.3569336058612112,lr
21,employ_status_3,0.3625827750729155,lr
22,employ_status_4,0.08615357270797999,lr
23,employ_status_5,0.2977639160697616,lr
24,employ_status_6,-0.2589699917625448,lr
25,employ_status_7,0.20278117443260688,lr
26,employ_status_8,0.33658533061858814,lr
27,diabetes_2,0.15958538307927994,lr
28,diabetes_3,0.08945131555323695,lr
29,diabetes_4,0.0639289996438278,lr
