,Feature,importance,method
0,mental_poor30,1.809191377000444,svcg
1,age_cat5,20.82270498198136,svcg
2,EDUCA,4.529609489331197,svcg
3,checkup,-3.4729434766042218,svcg
4,alcohol30,-0.1619331373627237,svcg
5,smoke,-1.585937201689248,svcg
6,income,5.444078152728565,svcg
7,BMI5,-5.1295826633253325,svcg
8,sex_male,-0.6181034989763177,svcg
9,cholestrol_2,-4.47395467712208,svcg
10,blood_pressure_2,0.024329400943614132,svcg
11,blood_pressure_3,-1.0027879831039606,svcg
12,blood_pressure_4,-1.4988247905428373,svcg
13,exer_yes,1.3306051671377475,svcg
14,diff_walk_yes,2.2023759582804736,svcg
15,marital_status_2,-1.2544220987027046,svcg
16,marital_status_3,1.4736971134461514,svcg
17,marital_status_4,-1.3332729872316342,svcg
18,marital_status_5,-1.9933736286999277,svcg
19,marital_status_6,0.7349803365268262,svcg
20,employ_status_2,4.073101245440444,svcg
21,employ_status_3,0.1872196601657521,svcg
22,employ_status_4,-0.8865864280171714,svcg
23,employ_status_5,4.005545536169176,svcg
24,employ_status_6,-0.2970808618052656,svcg
25,employ_status_7,7.1581725178039335,svcg
26,employ_status_8,0.39521712598841674,svcg
27,diabetes_2,0.9226896881628726,svcg
28,diabetes_3,-1.202427507906826,svcg
29,diabetes_4,-0.28874359683807427,svcg
