,Feature,importance,method
0,mental_poor30,0.07698223887443834,svcl
1,age_cat5,3.0263137959703776,svcl
2,EDUCA,0.44352286193645385,svcl
3,checkup,-0.2750018336999187,svcl
4,alcohol30,0.12326862992418147,svcl
5,smoke,0.023197669314722003,svcl
6,income,0.505674390308914,svcl
7,BMI5,-0.5702080943765107,svcl
8,sex_male,0.07962262766455996,svcl
9,cholestrol_2,-0.14061340856135907,svcl
10,blood_pressure_2,0.07239529646920673,svcl
11,blood_pressure_3,0.014289290382103026,svcl
12,blood_pressure_4,-0.16576587444853885,svcl
13,exer_yes,0.012699698056831465,svcl
14,diff_walk_yes,0.03700666364276284,svcl
15,marital_status_2,-0.0001292252714719666,svcl
16,marital_status_3,-0.0778245578949841,svcl
17,marital_status_4,-0.14930697036179197,svcl
18,marital_status_5,-0.11139863056967236,svcl
19,marital_status_6,0.1790058636887899,svcl
20,employ_status_2,0.4975455878892925,svcl
21,employ_status_3,0.28643036950398937,svcl
22,employ_status_4,0.10765034100877457,svcl
23,employ_status_5,0.4258626062886508,svcl
24,employ_status_6,0.03957122355970455,svcl
25,employ_status_7,0.686602384346668,svcl
26,employ_status_8,0.15145226733023875,svcl
27,diabetes_2,0.10788880840300052,svcl
28,diabetes_3,0.032628965759446515,svcl
29,diabetes_4,-0.05007272839194954,svcl
