,Feature,importance,method
0,mental_poor30,0.13052485762503727,lr
1,age_cat5,1.2782739618395316,lr
2,EDUCA,-0.19471599933383188,lr
3,checkup,-0.44341350452544553,lr
4,alcohol30,-0.20583857642966438,lr
5,smoke,-0.1914044189122297,lr
6,income,-0.5958873792904031,lr
7,BMI5,-1.532277184060145,lr
8,sex_male,0.06163230424692156,lr
9,cholestrol_2,-0.2555979261586688,lr
10,blood_pressure_2,-0.4131774806946464,lr
11,blood_pressure_3,-0.6890803176530086,lr
12,blood_pressure_4,-0.7398349428696377,lr
13,exer_yes,-0.05535078468435719,lr
14,diff_walk_yes,0.5833858981275207,lr
15,marital_status_2,0.061281234272191766,lr
16,marital_status_3,0.03289647972746979,lr
17,marital_status_4,0.439624927672016,lr
18,marital_status_5,-0.18334660877177175,lr
19,marital_status_6,0.020171971700482145,lr
20,employ_status_2,-0.03257368734143868,lr
21,employ_status_3,0.6248648265297688,lr
22,employ_status_4,0.01578588187276759,lr
23,employ_status_5,0.06153201666145942,lr
24,employ_status_6,-0.23880049731302683,lr
25,employ_status_7,0.39085079115463806,lr
26,employ_status_8,0.7601431243471444,lr
27,diabetes_2,-0.07673828280098037,lr
28,diabetes_3,-0.23767596495785784,lr
29,diabetes_4,-0.3269548865620704,lr
