,Feature,importance,method
0,mental_poor30,0.04389013149351996,rf
1,age_cat5,0.13480497608237751,rf
2,EDUCA,0.033025526993342415,rf
3,checkup,0.025870463994764295,rf
4,alcohol30,0.04240377778215138,rf
5,smoke,0.018046268040497502,rf
6,income,0.09346030458028268,rf
7,BMI5,0.06456563556341333,rf
8,sex_male,0.010617762173255784,rf
9,cholestrol_2,0.03823970800332937,rf
10,blood_pressure_2,0.003056302583337459,rf
11,blood_pressure_3,0.1038337212602223,rf
12,blood_pressure_4,0.004358765500934644,rf
13,exer_yes,0.02598510060314764,rf
14,diff_walk_yes,0.14052861121943236,rf
15,marital_status_2,0.00882764399565005,rf
16,marital_status_3,0.017365405443541905,rf
17,marital_status_4,0.006713682596814806,rf
18,marital_status_5,0.010783311770464347,rf
19,marital_status_6,0.006548032110509115,rf
20,employ_status_2,0.008195201274719729,rf
21,employ_status_3,0.005864595505726222,rf
22,employ_status_4,0.004893392328552546,rf
23,employ_status_5,0.004479471675228776,rf
24,employ_status_6,0.0022409386955935264,rf
25,employ_status_7,0.046455579765583566,rf
26,employ_status_8,0.05022695428285003,rf
27,diabetes_2,0.0021118407937679696,rf
28,diabetes_3,0.037377269876209505,rf
29,diabetes_4,0.005229624010779451,rf
