,Feature,importance,method
0,mental_poor30,0.5536194376888773,svcg
1,age_cat5,7.282450606915419,svcg
2,EDUCA,-2.064431727383056,svcg
3,checkup,-3.4037250652882114,svcg
4,alcohol30,-1.123489890670416,svcg
5,smoke,-0.47263656195443815,svcg
6,income,-4.694895978122415,svcg
7,BMI5,-8.062060161328723,svcg
8,sex_male,2.351523424250902,svcg
9,cholestrol_2,-3.4112059586283356,svcg
10,blood_pressure_2,-3.579374557333029,svcg
11,blood_pressure_3,-8.08760423236555,svcg
12,blood_pressure_4,-4.920314144732153,svcg
13,exer_yes,-0.48903163789012183,svcg
14,diff_walk_yes,9.077891991402915,svcg
15,marital_status_2,0.9707851819434357,svcg
16,marital_status_3,0.8169337274517225,svcg
17,marital_status_4,3.098414353604962,svcg
18,marital_status_5,-1.5554136538356573,svcg
19,marital_status_6,0.014230380921958385,svcg
20,employ_status_2,-1.8457430506918229,svcg
21,employ_status_3,7.009284579010547,svcg
22,employ_status_4,-1.630355966342627,svcg
23,employ_status_5,1.920936391945638,svcg
24,employ_status_6,-1.0536762233451888,svcg
25,employ_status_7,9.374597934113261,svcg
26,employ_status_8,11.50802549910317,svcg
27,diabetes_2,-1.6046468667178244,svcg
28,diabetes_3,-2.2605323051565165,svcg
29,diabetes_4,-3.333526451774534,svcg
