,Feature,importance,method
0,mental_poor30,0.09857337331071486,svcl
1,age_cat5,0.6144686403395514,svcl
2,EDUCA,-0.06557009647266754,svcl
3,checkup,-0.2943842049567685,svcl
4,alcohol30,-0.12700646237326632,svcl
5,smoke,-0.06943664771883423,svcl
6,income,-0.35682820788167485,svcl
7,BMI5,-0.9094477681934305,svcl
8,sex_male,0.03469663365912473,svcl
9,cholestrol_2,-0.1203189538702023,svcl
10,blood_pressure_2,-0.1149860024576243,svcl
11,blood_pressure_3,-0.36747702067209054,svcl
12,blood_pressure_4,-0.3680816894670775,svcl
13,exer_yes,-0.048630932422885687,svcl
14,diff_walk_yes,0.3670210457389881,svcl
15,marital_status_2,0.05104257431834286,svcl
16,marital_status_3,0.024054958469910126,svcl
17,marital_status_4,0.26954298828670553,svcl
18,marital_status_5,-0.09023162886594155,svcl
19,marital_status_6,0.012188789891532215,svcl
20,employ_status_2,-0.0548930473332539,svcl
21,employ_status_3,1.0177280562258737,svcl
22,employ_status_4,-0.0037217212554614965,svcl
23,employ_status_5,0.18803743980072207,svcl
24,employ_status_6,0.03564003178838465,svcl
25,employ_status_7,1.1041622672341325,svcl
26,employ_status_8,1.2152448642000206,svcl
27,diabetes_2,-0.025150997053265123,svcl
28,diabetes_3,-0.14716502354161098,svcl
29,diabetes_4,-0.2336549819474124,svcl
